importe_aus_dem_ubrigen_amerika_ohne_usa_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,28,Maschinen,8081.4369999999999,7785.4219999999996,11706.517,10966.527,8484.7119999999995,6497.0529999999999,12029.404,11825.052,9507.8539999999994,8081.4369999999999,7785.4219999999996,11706.517,10966.527,8484.7119999999995,6497.0529999999999,12029.404,11825.052,9507.8539999999994
C,29,Kraftwagen und Kraftwagenteile,31441.115000000002,102442.359,138320.878,120135.66800000001,101352.355,96961.432000000001,132052.58799999999,131487.20699999999,91974.683999999994,31441.115000000002,102442.359,138320.878,120135.66800000001,101352.355,96961.432000000001,132052.58799999999,131487.20699999999,91974.683999999994
C,30,Sonstige Fahrzeuge,218058.323,679844.63699999999,917547.76500000001,181679.18700000001,129553.414,302497.20799999998,8562.5010000000002,15003.117,42764.093999999997,218058.323,679844.63699999999,917547.76500000001,181679.18700000001,129553.414,302497.20799999998,8562.5010000000002,15003.117,42764.093999999997
C,31,Möbel,368.91199999999998,496.37900000000002,487.65,499.93200000000002,679.86,747.75900000000001,587.78599999999994,679.44799999999998,772.34799999999996,368.91199999999998,496.37900000000002,487.65,499.93200000000002,679.86,747.75900000000001,587.78599999999994,679.44799999999998,772.34799999999996
C,32,"Waren, a.n.g.",27256.300999999999,26459.067999999999,21262.258999999998,20877.006000000001,16276.038,11138.518,11828.688,13407.737999999999,13261.326999999999,80427.334000000003,31558.505000000001,32162.232,23609.233,22678.489000000001,20535.885999999999,33405.171000000002,22597.919999999998,26821.091
J,58,Dienstleistungen des Verlagswesens,740.32500000000005,638.59500000000003,314.74799999999999,734.58199999999999,4839.62,343.69299999999998,457.43799999999999,420.78300000000002,300.33800000000002,740.32500000000005,638.59500000000003,314.74799999999999,734.58199999999999,4839.62,343.69299999999998,457.43799999999999,420.78300000000002,300.33800000000002
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",10.954000000000001,504.10599999999999,143.84700000000001,145.02699999999999,20.510999999999999,1433.8240000000001,952.39499999999998,556.803,1597.047,10.954000000000001,504.10599999999999,143.84700000000001,145.02699999999999,20.510999999999999,1433.8240000000001,952.39499999999998,556.803,1597.047
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,2155.13,22985.048999999999,1405.2049999999999,3427.9929999999999,1473.383,8661.6,2082.2359999999999,722.37,1487.8389999999999
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.36400000000003,0,2402.5070000000001,1877.2460000000001
NA,NA,Verschiedene (weitere) Güterkategorien,27.056999999999999,21.609000000000002,14.282999999999999,12.212,3.89,5.835,10.693,9.2309999999999999,11.946,223.83699999999999,54.893000000000001,386.53500000000003,185.53299999999999,55.914000000000001,5.835,145.19300000000001,9.2309999999999999,11.946
