importe_aus_den_usa_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,29,Kraftwagen und Kraftwagenteile,641824.49,666083.75199999998,604341.19900000002,744209.83,585441.04399999999,521652.99300000002,507268.886,599056.87,547194.59699999995,641824.49,666083.75199999998,604341.19900000002,744209.83,585441.04399999999,521652.99300000002,507268.886,599056.87,547194.59699999995
C,30,Sonstige Fahrzeuge,2184077.2570000002,1016279.798,992684.52399999998,1238793.8570000001,295067.90500000003,282053.39199999999,390723.00699999998,398518.07299999997,392331.5,2184077.2570000002,1016279.798,992684.52399999998,1238793.8570000001,295067.90500000003,282053.39199999999,390723.00699999998,398518.07299999997,392331.5
C,31,Möbel,1777.5219999999999,3019.93,1821.979,2593.7420000000002,2052.0459999999998,3751.4270000000001,2897.2049999999999,4137.0680000000002,4964.7579999999998,1777.5219999999999,3019.93,1821.979,2593.7420000000002,2052.0459999999998,3751.4270000000001,2897.2049999999999,4137.0680000000002,4964.7579999999998
C,32,"Waren, a.n.g.",175868.321,151596.56200000001,178060.05600000001,174547.829,137919.489,108345.46400000001,122076.875,119512.22900000001,104915.679,237498.27799999999,168719.37400000001,208992.47500000001,193660.592,169201.12400000001,122574.36199999999,140417.304,138047.59299999999,120083.66800000001
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",29.762,7.16,83.370999999999995,8.9090000000000007,4.4139999999999997,0,34.429000000000002,9.7780000000000005,23.353000000000002,29.762,7.16,83.370999999999995,8.9090000000000007,4.4139999999999997,0,34.429000000000002,9.7780000000000005,942.84100000000001
J,58,Dienstleistungen des Verlagswesens,10150.278,5683.7910000000002,5987.4979999999996,65639.775999999998,4948.58,7009.3360000000002,10509.26,6853.1059999999998,5505.6390000000001,10150.278,5683.7910000000002,5987.4979999999996,65639.775999999998,4948.58,7009.3360000000002,10509.26,6853.1059999999998,5505.6390000000001
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",2247.6990000000001,3583.056,3115.444,3109.0189999999998,3253.944,3638.8519999999999,2769.614,2518.85,2340.7719999999999,2247.6990000000001,3583.056,3115.444,3109.0189999999998,3253.944,3638.8519999999999,2769.614,2518.85,2340.7719999999999
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",40.043999999999997,17.248000000000001,0,0,0,0,165.512,0,0,40.043999999999997,17.248000000000001,0,0,0,0,165.512,0,0
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,204460.524,180959.758,192298.00700000001,91290.468999999997,88103.41,107631.429,89032.7,276256.89899999998,70691.864000000001
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,8337.4979999999996,3703.576,6000.5450000000001,8859.6659999999993,8005.7060000000001,3259.4169999999999,10531.821,7170.0370000000003,5296.8159999999998
NA,NA,Verschiedene (weitere) Güterkategorien,619.41499999999996,158.08500000000001,180.054,126.827,252.012,309.726,43.384999999999998,147.39500000000001,299.959,619.41499999999996,174.84800000000001,181.393,126.827,284.05,309.726,43.564,147.39500000000001,300.42700000000002
