exporte_nach_ozeanien_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,28,Maschinen,46885.112999999998,21381.457999999999,16223.647000000001,38350.35,21810.107,22810.409,20755.352999999999,17971.837,13798.096,46885.112999999998,21381.457999999999,16223.647000000001,38350.35,21810.107,22810.409,20755.352999999999,17971.837,13798.096
C,29,Kraftwagen und Kraftwagenteile,0,259.75900000000001,0,0,0,0,186.548,528.65800000000002,300.90199999999999,0,259.75900000000001,0,0,0,0,186.548,528.65800000000002,300.90199999999999
C,30,Sonstige Fahrzeuge,37439.495999999999,2227.0230000000001,3806.8270000000002,33370.669000000002,16274.092000000001,14148.710999999999,9327.2180000000008,4078.402,4663.902,37439.495999999999,2227.0230000000001,3806.8270000000002,33370.669000000002,16274.092000000001,14148.710999999999,9327.2180000000008,4078.402,4663.902
C,31,Möbel,0,0,151.41499999999999,360.28399999999999,49.433,0,168.273,71.748999999999995,83.007000000000005,0,0,151.41499999999999,360.28399999999999,49.433,0,168.273,71.748999999999995,83.007000000000005
C,32,"Waren, a.n.g.",8874.8719999999994,42064.885000000002,49080.548000000003,16873.187000000002,16254.008,20096.156999999999,22298.135999999999,24704.151000000002,22885.976999999999,8874.8719999999994,42105.09,49096.548000000003,16873.895,16258.933999999999,20666.45,22563.486000000001,24732.666000000001,22885.976999999999
J,58,Dienstleistungen des Verlagswesens,106.854,98.584000000000003,66.093000000000004,300.16199999999998,194.7,15.37,36.389000000000003,33.046999999999997,1826.835,106.854,98.584000000000003,66.093000000000004,300.16199999999998,194.7,15.37,36.389000000000003,33.046999999999997,1826.835
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",0,16.526,11.634,0,64.427999999999997,37.905000000000001,0,73.052999999999997,0,0,16.526,11.634,0,64.427999999999997,37.905000000000001,0,73.052999999999997,0
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,876.09100000000001,0,0,0,0,0,232.05500000000001,0,819.28300000000002
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,268.41000000000003,1139.7070000000001,2629.578,1391.3979999999999,650.29700000000003,781.37699999999995,1712.8530000000001,1499.595,1571.1130000000001
NA,NA,Verschiedene (weitere) Güterkategorien,231.51,305.67099999999999,163.69900000000001,328.64299999999997,275.19400000000002,284.11900000000003,36.122,172.464,219.92599999999999,231.51,1763.9290000000001,631.70500000000004,424.69400000000002,1487.8789999999999,957.48599999999999,36.122,322.28199999999998,219.92599999999999
