importe_aus_asien_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,27,Elektrische Ausrüstungen,471366.75,488307.74800000002,525017.70400000003,568549.23400000005,582894.99100000004,705889.56799999997,871325.04099999997,742740.04799999995,740396.61699999997,471366.75,488307.74800000002,525017.70400000003,568549.23400000005,582894.99100000004,705889.56799999997,871325.04099999997,742740.04799999995,740396.61699999997
C,28,Maschinen,403284.55900000001,444847.25199999998,475742.93400000001,474263.19500000001,410254.24699999997,476314.97,494930.24099999998,484815.674,452150.66,403284.55900000001,444847.25199999998,475742.93400000001,474263.19500000001,410254.24699999997,476314.97,494930.24099999998,484815.674,452150.66
C,29,Kraftwagen und Kraftwagenteile,195251.77100000001,298359.68099999998,237835.68700000001,189051.6,198931.10699999999,281981.739,371788.44,549767.08100000001,565890.87300000002,195251.77100000001,298359.68099999998,237835.68700000001,189051.6,198931.10699999999,281981.739,371788.44,549767.08100000001,565890.87300000002
C,30,Sonstige Fahrzeuge,68609.856,73230.743000000002,79180.13,91295.269,88686.12,105140.322,117140.90399999999,93998.452000000005,81213.929999999993,68609.856,73230.743000000002,79180.13,91295.269,88686.12,105140.322,117140.90399999999,93998.452000000005,81213.929999999993
C,31,Möbel,56304.502999999997,56954.332999999999,68126.558999999994,70034.907999999996,67738.982999999993,86256.165999999997,91382.73,65650.41,69348.014999999999,56304.502999999997,56954.332999999999,68126.558999999994,70034.907999999996,67738.982999999993,86256.165999999997,91382.73,65650.41,69348.014999999999
C,32,"Waren, a.n.g.",283258.50199999998,313823.60100000002,313595.58500000002,333015.23700000002,320620.739,392511.23700000002,430037.50300000003,407874.89500000002,395441.38500000001,316683.99599999998,343361.087,335057.87800000003,347577.87199999997,331335.24099999998,406416.91200000001,461428.45600000001,426915.59600000002,412562.10499999998
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",44.234000000000002,274.03199999999998,208.34299999999999,170.268,541.70799999999997,209.316,169.33199999999999,37.090000000000003,104.7,303.09199999999998,863.34799999999996,208.37299999999999,362.78699999999998,541.70799999999997,209.316,169.34299999999999,37.090000000000003,105.16800000000001
J,58,Dienstleistungen des Verlagswesens,6314.0060000000003,7801.2879999999996,6835.3180000000002,10464.481,7497.1689999999999,7919.1210000000001,9036.2479999999996,8832.4269999999997,7262.4740000000002,6314.0060000000003,7801.2879999999996,6835.3180000000002,10464.481,7497.1689999999999,7919.1210000000001,9036.2479999999996,8832.4269999999997,7262.4740000000002
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",1350.365,3628.5819999999999,2453.8150000000001,1747.876,4898.9579999999996,3426.0369999999998,2711.8,2292.8820000000001,2425.145,1350.365,3628.5819999999999,2453.8150000000001,1747.876,4898.9579999999996,3426.0369999999998,2711.8,2292.8820000000001,2425.145
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",5.2439999999999998,0,0,0,65.626999999999995,62.773000000000003,62.899000000000001,56.774999999999999,132.23500000000001,5.2439999999999998,0,0,0,65.626999999999995,62.773000000000003,62.899000000000001,56.774999999999999,132.23500000000001
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,2045.557,7197.9,9604.2219999999998,12007.34,6450.37,9087.8979999999992,8001.9930000000004,23472.758999999998,30317.348000000002
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,1390.0630000000001,1945.3620000000001,2945.402,12906.97,1156.4929999999999,2552.239,5570.2160000000003,4170.4170000000004,8736.6610000000001
NA,NA,Verschiedene (weitere) Güterkategorien,141.28899999999999,228.29400000000001,168.99,277.392,246.18700000000001,307.495,2290.86,1375.7550000000001,1300.8800000000001,141.28899999999999,228.29400000000001,168.99,277.392,246.18700000000001,307.495,2290.86,1375.7550000000001,1300.8800000000001
