importe_aus_dem_ubrigen_europa_ohne_eu27_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",97966.875,89386.097999999998,105327.413,106409.84600000001,90356.71,120569.677,94019.085000000006,86833.911999999997,86455.741999999998,97966.875,89386.097999999998,105327.413,106409.84600000001,90356.71,120569.677,94019.085000000006,86833.911999999997,86455.741999999998
C,27,Elektrische Ausrüstungen,46305.351999999999,53578.985999999997,54932.330999999998,70141.69,80290.39,94003.682000000001,91842.514999999999,80833.701000000001,82019.709000000003,46305.351999999999,53578.985999999997,54932.330999999998,70141.69,80290.39,94003.682000000001,91842.514999999999,80833.701000000001,82019.709000000003
C,28,Maschinen,55493.885000000002,64599.16,85308.687000000005,84628.345000000001,81527.353000000003,68878.403999999995,92017.998999999996,86671.322,98130.736000000004,55493.885000000002,64599.16,85308.687000000005,84628.345000000001,81527.353000000003,68878.403999999995,92017.998999999996,86671.322,98130.736000000004
C,29,Kraftwagen und Kraftwagenteile,402615.99300000002,393429.10800000001,441712.04800000001,398251.17599999998,349281.04100000003,287733.08299999998,299832.28100000002,339422.90399999998,347987.734,402615.99300000002,393429.10800000001,441712.04800000001,398251.17599999998,349281.04100000003,287733.08299999998,299832.28100000002,339422.90399999998,347987.734
C,30,Sonstige Fahrzeuge,52767.913,57509.576999999997,50220.163,27959.178,32229.194,17760.627,31229.843000000001,21027.681,29689.162,52767.913,57509.576999999997,50220.163,27959.178,32229.194,17760.627,31229.843000000001,21027.681,29689.162
C,31,Möbel,14068.28,14157.431,16212.482,21432.41,19493.522000000001,22870.835999999999,25178.585999999999,27844.351999999999,28273.162,14068.28,14157.431,16212.482,21432.41,19493.522000000001,22870.835999999999,25178.585999999999,27844.351999999999,28273.162
C,32,"Waren, a.n.g.",61601.985999999997,50624.271999999997,47408.283000000003,47281.002999999997,45059.262999999999,45559.75,39631.347999999998,41539.269999999997,40594.951999999997,70619.278999999995,70978.635999999999,51038.71,170843.95,57763.366999999998,125378.20299999999,43208.614999999998,48836.408000000003,47994.51
E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",36.710999999999999,100.937,573.95799999999997,1019.896,204.65899999999999,173.93799999999999,159.08199999999999,617.80600000000004,855.84900000000005,37.732999999999997,100.937,589.827,1019.896,204.65899999999999,189.852,159.08199999999999,617.87400000000002,855.84900000000005
J,58,Dienstleistungen des Verlagswesens,5348.7309999999998,5858.3149999999996,4645.2870000000003,9222.0789999999997,6374.8909999999996,17663.945,13413.683999999999,11968.154,12342.328,5348.7309999999998,5858.3149999999996,4645.2870000000003,9222.0789999999997,6374.8909999999996,17663.945,13413.683999999999,11968.154,12342.328
J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",943.85199999999998,1547.461,1075.171,4490.6260000000002,3489.3229999999999,2022.3050000000001,1301.742,904.18600000000004,898.13099999999997,943.85199999999998,1547.461,1075.171,4490.6260000000002,3489.3229999999999,2022.3050000000001,1301.742,904.18600000000004,898.13099999999997
M,74,"Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen",242.376,207.55799999999999,256.77499999999998,287.01299999999998,370.97699999999998,310.10300000000001,522.85400000000004,445.87200000000001,472.161,242.376,207.55799999999999,256.77499999999998,287.01299999999998,370.97699999999998,310.10300000000001,522.85400000000004,445.87200000000001,472.161
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,21370.595000000001,29605.550999999999,42480.788999999997,27677.544000000002,24876.347000000002,19093.712,12100.19,26393.687999999998,37248.588000000003
R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,0,0,0,0,0,0,0,0,29587.864000000001,25368.055,17598.922999999999,23744.246999999999,9688.1990000000005,29863.814999999999,14872.816000000001,19441.149000000001,25099.379000000001
NA,NA,Verschiedene (weitere) Güterkategorien,88.180999999999997,8935.1810000000005,15246.629000000001,18241.085999999999,6363.1909999999998,11429.53,93984.298999999999,21160.815999999999,515.21,88.180999999999997,8935.1810000000005,15246.629000000001,18241.085999999999,6363.1909999999998,11429.53,93984.298999999999,21160.815999999999,515.21
